2024-08-10 10:59:54,"호호 부는 튜브","파산여부 답 선형회귀 맞나요 "
2024-08-10 10:59:58,"권투하는 무지","아니 근데 이거 3일의전사 쌉가능인데요?"
2024-08-10 11:00:01,"파이팅팅","그이까요"
2024-08-10 11:00:03,"권투하는 무지","60은 충분히 나올듯"
2024-08-10 11:00:04,"부끄러운 어피치","저는 이거 했어요…."
2024-08-10 11:00:05,"가즈아","EM 알고리즘 
향상도
Mallcow cp. (2번)
alpha (p value 아님) 
무조건 제거 아님
후진선택법은 상수암을때까지 제거히는게아님(정답 2)
공통저변 문제는 공통(누구나접속)  이거하나만. 쉬움
전략적중요도
최적화 (도활확최)
insight (통찰)
엘보우계수
분산감소량 (분류모델 로직아닌것)
사과는 4/10
Apriori는 적정 지지도 기반에서 분석하는것
시그모이드가 아님
질변 9/20
t통계량 1번 
speed 
선형회귀 (분류모델이아님)"
2024-08-10 11:03:05,"귀여운 라이언","귀여운 라이언님이 들어왔습니다."
2024-08-10 11:03:06,"하트뽀뽀 어피치","ㅇㅇ"
2024-08-10 11:03:06,"선풍기 바람 쐬는 어피치","전 신뢰도 했는ㄷ0"
2024-08-10 11:03:07,"응원하는 튜브","응원하는 튜브님이 나갔습니다."
2024-08-10 11:03:08,"울고있는 어피치","재현도했는데"
2024-08-10 11:03:09,"D","D님이 나갔습니다."
2024-08-10 11:03:09,"떨고있는 어피치","오 찍옸는데 맞았다"
2024-08-10 11:03:09,"Okddori","먼가 말이 복잡해서 향상도 했어요"
2024-08-10 11:03:11,"비옷입은 튜브","향상도임"
2024-08-10 11:03:12,"코파","2번 엄청 적었는데"
2024-08-10 11:03:14,"운동하는 라이언","신뢰도임"
2024-08-10 11:03:16,"인사하는 프로도","3과목 시원하게 말아먹었네요"
2024-08-10 11:03:18,"일하기 싫은 네오","50번은요??알고리즘"
2024-08-10 11:03:18,"신나는 프로도","아잌ㅋㅋ 젠장"
2024-08-10 11:03:18,"선풍기 바람 쐬는 어피치","저도 신뢰도"
2024-08-10 11:03:19,"아이디어 프로도","향상도 아님? 마지막에 변화량처럼 기술하길래"
2024-08-10 11:03:20,"코파","3번이 적었나"
2024-08-10 11:03:22,"Okddori","한달의 전사 개처럼 멸망"
2024-08-10 11:03:22,"울고있는 어피치","제주도임"
2024-08-10 11:03:23,"권투하는 무지","아니 근데 이번에 좀 쉬운편 맞나요? 기출 하나도 안 풀고 연습문제만 3일동안 풀었는데 대학교 중간 기말보다 훨 쉬운 난이돈데요?"
2024-08-10 11:03:24,"응원하는 튜브","신뢰도는 그냥 조건부고 비율 따지는건 향상도임"
2024-08-10 11:03:25,"호호 부는 튜브","밀도군집 뭐하셨어여"
2024-08-10 11:03:27,"먹보 네오","50번 apriori 먼가요 빈발어쩌고 ?"
2024-08-10 11:03:28,"선풍기 바람 쐬는 어피치","제주도래요"
2024-08-10 11:03:29,"엄지척 프로도","엄지척 프로도님이 들어왔습니다."
2024-08-10 11:03:31,"부끄러운 어피치","1,2만 쉬웠어요…."
2024-08-10 11:03:31,"힙합맨 제이지","333 444 저만이런거 있었나요"
2024-08-10 11:03:32,"즐거운 네오","즐거운 네오님이 들어왔습니다."
2024-08-10 11:03:33,"퇴근하는 프로도","퇴근하는 프로도님이 들어왔습니다."
2024-08-10 11:03:34,"하트뽀뽀 어피치","오십번 몇번 하셨어요? "
2024-08-10 11:03:35,"기타치는 튜브","기타치는 튜브님이 들어왔습니다."
2024-08-10 11:03:35,"부끄러운 어피치","저도요"
2024-08-10 11:03:35,"가즈아","이거 답 뭔가요"
2024-08-10 11:03:38,"머리 빗는 네오","머리 빗는 네오님이 들어왔습니다."
2024-08-10 11:03:39,"가즈아","라이브러리가 답이에요?"
2024-08-10 11:03:40,"일하기 싫은 네오","전 2번"
2024-08-10 11:03:40,"코파","문제 숭서 다 다르셨나요?"
2024-08-10 11:03:41,"리듬타는 제이지","50번  보기 뭐였죠"
2024-08-10 11:03:41,"부탁하는 무지","개많음ㅋ"
2024-08-10 11:03:42,"권투하는 무지","3도 문제은행식 아닙니까?"
2024-08-10 11:03:44,"리듬타는 제이지","전 라이브러리 "
2024-08-10 11:03:47,"_","저두 있었어유"
2024-08-10 11:03:48,"째려보는 어피치","째려보는 어피치님이 나갔습니다."
2024-08-10 11:03:50,"피자 먹다 자는 무지","1, 2과목 쉬워서 이거 3과목 조지는거구나 했는데 역시나…"
2024-08-10 11:03:50,"Okddori","라이브러리가 답인가"
2024-08-10 11:03:51,"42회","42회님이 들어왔습니다."
2024-08-10 11:03:52,"힙합맨 제이지","다행이네요 ㅎ.ㅎ"
2024-08-10 11:03:52,"선풍기 바람 쐬는 어피치","저도 라이브러리.."
2024-08-10 11:03:52,"네오","네오님이 들어왔습니다."
2024-08-10 11:03:53,"호호 부는 튜브","api찍음"
2024-08-10 11:03:54,"울고있는 어피치","3과목 어려웟는데"
2024-08-10 11:03:57,"일하기 싫은 네오","50번제발 답뭐죠ㅠ"
2024-08-10 11:03:57,"코파","아 API 했는데 ㅋㅋ"
